,date,ARPA,ANT,ALGO,ADA,ATOM,ATA,AR,AVA,AVAX,BTC,CELO,CELR,CKB,BLZ,CHR,DASH,BAND,BTG,CFX,CTXC,CVC,CTSI,CTK,FET,DGB,DCR,DOCK,DUSK,DOT,FIRO,EGLD,ETC,GTO,GTC,DATA,EOS,DENT,HIVE,DNT,KEEP,ELF,LTC,FTM,HOT,FIL,FLOW,KEY,KMD,JST,GRT,LINK,LSK,ICX,KSM,HBAR,LUNA,LTO,NEAR,LIT,IOTX,HNT,MATIC,IOST,IRIS,MDT,MASK,IOTA,ICP,NULS,NKN,NANO,OCEAN,ONE,OMG,OGN,MINA,QNT,RIF,RSR,TOMO,PAXG,SC,OXT,MTL,PUNDIX,VET,KLAY,RVN,SKL,SFP,XLM,TFUEL,SXP,THETA,POND,ONG,STMX,STRAX,TWT,DOGE,ETH,SOL,TRB,TRX,VTHO,XEC,XEM,VITE,COS,XRP,ZEC,WAVES,ZIL,IDEX,XTZ,COCOS,GALA,FIO,QTUM,GHST,ILV,BTT,MANA,WIN,NEO,WTC,STX,MBOX,NU,ENJ,ONT,ORN,TLM,PHA,ZEN,XMR,REQ,NMR,ROSE,POLY,POLS,SLP,WAN,STPT,ZRX,SYS,TVK,YGG,TORN,UTK,RLC,SAND,WAXP,COTI,VIDT,LPT
96,2021-10-14 23:05:00,226.95,211.2,228.59,777.94,805.58,208.23,263.55,179.75,397.83,1714.86,337.74,566.01,199.33,87.31,46.57,355.54,78.61,692.55,116.52,123.19,61.35,300.72,256.94,1785.3,111.84,100.0,98.41,219.4,793.38,155.41,218.12,428.79,161.06,119.56,108.39,821.02,326.05,388.66,inf,372.32,196.81,476.43,605.58,216.01,692.54,678.4,220.38,229.33,29.59,273.51,960.57,235.99,265.65,274.93,193.14,748.76,108.98,538.2,224.38,336.44,222.06,264.73,252.92,277.56,222.24,240.64,286.96,503.18,48.97,109.37,241.38,127.5,540.57,417.62,73.85,181.69,202.43,100.0,372.72,447.88,251.26,117.04,50.0,236.55,94.52,336.79,160.85,168.15,83.87,789.36,368.08,264.15,331.13,408.02,207.14,187.97,279.36,339.62,299.85,1717.08,2178.07,555.66,224.68,411.73,113.6,172.87,447.41,66.2,91.53,948.91,470.52,279.71,270.81,201.26,284.64,94.48,168.83,132.95,215.19,67.82,150.88,305.25,827.15,364.49,186.18,116.9,264.17,223.71,135.13,142.07,286.41,526.65,406.86,185.89,228.55,636.58,189.3,163.88,214.39,137.42,87.04,571.0,174.96,239.2,950.49,133.72,108.59,464.65,155.16,303.89,158.89,357.43,104.89,301.89,150.24,341.94
97,2021-10-14 23:10:00,304.66,84.32,336.96,871.21,844.92,200.07,112.43,200.17,563.44,1410.64,235.83,501.58,194.73,187.63,104.37,140.71,235.41,25.0,146.71,273.94,84.41,134.62,183.01,295.17,220.72,inf,73.12,130.79,855.61,132.32,168.83,717.44,43.46,117.22,68.39,1034.19,538.06,182.04,143.37,486.82,100.0,743.23,822.44,307.55,584.73,739.45,65.1,282.99,84.49,171.22,1226.27,298.98,168.87,315.09,157.97,523.84,35.01,441.87,125.75,272.27,342.43,535.42,387.25,288.08,246.46,381.04,391.14,337.33,196.98,127.0,234.58,85.2,444.04,531.56,66.12,154.66,371.63,189.1,371.44,280.99,100.0,179.05,100.0,193.23,102.03,585.72,283.87,207.98,192.57,797.1,442.04,278.11,322.39,690.84,398.2,142.99,285.81,937.05,327.69,951.53,1804.05,541.59,198.48,315.22,207.56,132.18,64.99,294.13,82.8,823.32,276.95,305.17,180.84,345.77,292.15,260.11,192.13,50.0,176.13,64.51,50.0,391.5,208.2,389.42,219.25,273.12,300.8,182.49,100.0,227.11,484.32,366.75,579.69,130.98,119.87,553.59,122.7,200.27,173.28,342.23,92.3,524.67,144.55,607.97,268.65,514.38,50.0,265.86,221.9,231.83,148.28,639.45,202.75,229.97,123.67,351.94
98,2021-10-14 23:15:00,553.87,59.58,197.78,1392.72,744.42,199.32,367.62,108.52,520.76,1479.61,275.34,205.04,244.72,169.73,134.18,229.6,270.12,62.6,164.71,76.92,167.89,125.81,148.45,763.14,68.62,50.0,142.69,227.05,858.51,91.79,245.64,403.0,101.31,95.48,153.43,511.71,352.61,183.03,86.71,73.67,36.34,1193.53,696.54,276.28,466.11,1136.53,83.03,90.86,39.82,162.15,1110.1,132.42,324.7,293.78,311.11,1111.69,101.35,429.95,261.17,267.52,553.56,497.21,338.42,426.35,129.5,128.12,230.34,254.19,110.08,200.09,373.11,461.59,440.03,523.82,126.72,126.36,403.54,152.06,404.17,166.13,50.0,251.68,140.03,983.54,96.0,476.7,327.15,192.54,197.74,762.27,494.43,434.53,525.45,376.03,156.81,177.85,171.45,inf,266.88,1099.02,1777.41,662.39,182.44,391.8,375.2,249.42,691.62,225.45,106.13,716.59,467.44,351.29,326.98,268.7,465.41,50.0,383.22,33.33,251.34,133.43,100.17,383.96,439.42,227.12,265.3,88.25,285.51,182.12,152.19,193.37,311.17,130.97,354.21,84.78,199.06,389.65,72.32,60.24,143.4,304.27,84.19,398.89,54.89,444.84,185.19,174.25,86.88,278.95,191.55,273.16,115.51,448.14,184.49,496.5,145.27,235.23
99,2021-10-14 23:20:00,228.84,85.44,301.22,932.98,506.78,434.61,124.93,284.4,431.33,2723.48,470.37,230.59,159.53,127.23,116.42,317.76,247.7,145.59,157.76,208.87,299.34,315.04,301.24,1606.35,184.87,28.59,58.94,136.55,1064.03,98.06,622.84,589.43,304.29,138.25,165.55,499.21,476.52,369.02,180.66,148.17,109.93,627.63,481.95,169.36,724.53,693.11,77.3,85.63,152.57,579.49,1173.47,174.25,162.64,178.48,193.18,811.09,79.24,417.89,284.3,204.57,1063.57,564.06,214.23,253.84,167.02,308.43,801.63,369.36,139.46,421.23,171.9,282.46,549.38,678.82,176.04,301.45,410.7,661.37,504.06,141.09,594.63,182.88,181.86,686.14,119.63,382.76,145.54,135.82,217.0,685.45,334.6,292.1,274.01,530.75,400.54,128.66,287.67,100.0,116.6,1114.31,1471.98,647.83,319.35,381.83,282.6,300.07,319.63,233.76,88.05,1257.0,344.83,277.95,235.39,349.43,375.77,128.61,309.06,116.9,554.91,89.71,918.88,185.21,261.73,411.95,247.8,67.41,292.53,534.86,384.29,290.99,303.45,154.3,268.42,589.1,47.35,304.57,286.2,89.41,222.28,401.77,123.95,370.98,166.47,382.98,145.95,392.09,134.62,434.13,33.33,130.87,617.49,492.79,663.35,295.91,169.83,264.1
100,2021-10-14 23:25:00,393.9,97.87,269.08,1138.01,550.42,284.6,481.53,159.23,586.74,1452.05,357.44,688.07,193.87,132.53,238.53,205.13,216.38,77.53,309.81,65.5,223.23,135.11,190.39,601.94,259.56,inf,82.0,127.35,1345.95,171.69,472.11,718.83,75.42,138.21,108.99,186.33,825.82,261.05,50.0,321.2,354.01,647.45,822.59,304.76,510.82,1134.03,242.88,104.38,121.6,459.13,1116.18,66.7,334.11,124.77,332.8,1081.95,55.65,592.95,94.64,198.71,966.01,589.05,405.01,182.62,285.65,569.33,382.5,344.86,176.71,107.55,256.21,322.62,392.41,684.55,113.96,318.69,472.06,75.03,116.11,160.42,51.88,241.07,124.06,147.35,73.74,340.07,116.34,242.38,171.49,776.02,476.29,634.05,261.34,442.99,249.52,144.78,160.79,376.17,398.34,888.67,2172.89,544.36,168.45,370.59,198.75,176.0,322.13,264.54,337.97,798.28,385.44,408.12,338.27,598.46,463.08,20.0,340.84,81.04,274.88,55.24,153.87,300.38,186.78,443.87,184.56,68.12,201.71,204.4,647.92,421.13,183.32,90.39,853.22,561.25,118.53,368.18,65.31,85.77,129.12,500.13,127.16,356.45,58.17,422.43,252.21,92.24,inf,475.38,90.32,185.44,415.99,626.42,225.58,412.1,281.62,580.25
101,2021-10-14 23:30:00,305.09,92.08,214.51,603.92,318.89,100.46,406.76,106.39,459.28,2542.92,246.49,243.48,104.47,82.44,199.97,363.12,85.22,62.77,95.2,509.52,238.8,141.13,114.35,2101.76,182.51,inf,63.92,72.43,979.07,65.02,1095.89,574.07,74.33,186.73,107.69,777.93,327.82,223.61,345.25,154.85,159.53,487.16,746.25,219.43,366.17,861.67,109.43,56.71,39.31,355.46,1076.01,158.2,219.1,346.45,198.66,1612.99,254.06,717.4,78.59,301.78,87.26,255.28,260.06,67.5,30.52,391.57,249.17,183.43,98.15,86.44,407.62,78.71,470.99,471.44,83.67,236.9,179.43,22.1,208.21,232.12,25.0,396.91,151.48,135.22,111.58,401.76,218.57,104.57,172.33,499.58,533.76,377.99,565.59,499.59,310.72,158.6,208.33,499.08,243.9,859.31,3018.04,546.3,56.44,465.16,109.7,249.16,1110.37,51.03,169.02,718.83,358.8,331.88,156.0,369.4,582.19,28.99,208.65,1862.84,278.36,360.9,295.09,240.96,155.67,328.38,257.6,130.32,257.75,407.36,57.93,157.98,262.37,83.76,182.24,241.58,94.36,162.86,70.55,295.16,172.33,539.05,91.87,951.17,88.97,771.2,104.0,100.0,205.58,458.8,73.43,38.0,164.75,216.04,298.77,324.01,292.3,169.56
102,2021-10-14 23:35:00,364.7,48.72,195.12,688.66,873.29,247.12,255.93,51.86,541.24,1537.41,162.89,215.93,236.96,76.33,367.16,303.86,209.66,25.15,78.57,255.64,119.38,266.25,80.51,521.93,146.02,169.1,39.4,108.41,1006.84,97.29,227.45,259.18,33.86,283.96,124.06,774.1,235.94,209.47,35.17,96.34,156.78,641.27,737.88,346.41,527.57,860.61,33.33,59.74,50.15,172.01,1180.66,61.29,178.39,368.89,489.31,740.76,86.6,653.62,121.16,250.76,233.96,252.61,634.37,125.65,135.86,511.49,355.98,233.33,429.62,71.43,147.87,152.82,517.34,484.78,64.26,252.95,201.85,164.18,348.42,110.16,219.51,259.33,173.36,126.78,393.5,1329.6,184.57,278.73,134.41,513.6,427.64,142.85,927.99,429.81,459.96,240.77,291.98,440.32,824.64,548.65,1904.69,547.01,36.79,174.36,72.8,213.88,137.81,37.38,155.15,836.77,732.08,357.82,197.69,268.28,492.36,116.45,189.15,59.06,328.8,100.0,431.63,257.65,369.25,178.24,272.23,60.81,182.8,267.08,inf,111.08,340.45,125.95,391.72,228.53,84.2,262.45,98.94,35.78,156.64,239.02,105.57,731.91,56.84,611.0,435.95,515.64,84.24,299.82,inf,139.72,112.27,333.09,234.51,238.12,85.06,297.34
103,2021-10-14 23:40:00,320.3,34.71,267.65,675.31,741.24,102.99,133.53,206.22,1004.6,1733.76,340.93,226.11,340.64,59.23,318.45,210.65,54.09,41.47,93.87,185.65,212.72,141.44,275.48,907.28,121.04,279.87,106.4,107.73,1023.8,100.0,430.52,547.12,41.45,111.9,104.71,486.48,247.8,367.62,73.99,111.78,52.57,855.99,789.16,231.13,661.39,1510.12,73.63,63.32,25.0,218.91,1096.56,304.19,1206.82,494.24,225.76,983.66,73.8,655.89,374.04,185.67,574.73,194.94,568.05,118.84,200.63,233.49,286.29,297.8,183.23,62.31,213.94,125.06,443.31,788.92,80.65,107.69,137.98,33.36,191.17,116.78,1192.5,267.44,343.08,432.4,97.25,509.69,243.03,125.36,116.42,532.77,426.86,1716.98,386.55,432.31,197.34,249.8,459.38,137.25,489.58,2045.68,1945.42,676.59,42.11,331.49,234.17,368.12,206.87,37.43,138.07,861.82,350.99,425.09,184.29,503.83,564.5,31.14,173.12,61.35,269.99,37.89,631.8,214.95,79.07,239.25,235.7,48.68,241.34,680.67,59.33,152.38,200.6,265.99,363.37,225.58,146.51,295.92,62.95,156.11,108.15,245.98,96.95,650.81,47.77,361.62,198.62,54.44,129.33,439.94,50.0,314.62,106.08,531.95,903.8,360.76,161.76,371.51
104,2021-10-14 23:45:00,231.8,66.9,333.67,681.57,607.44,160.38,97.36,85.41,472.68,1292.96,234.41,256.29,104.15,98.73,83.17,328.88,101.59,100.0,117.77,50.0,143.26,138.44,477.83,537.35,167.59,inf,33.33,231.17,700.17,140.06,292.92,690.44,27.79,114.04,78.98,571.81,311.38,354.38,147.98,559.99,56.4,728.49,810.7,238.66,705.93,651.66,87.39,79.19,25.0,136.88,1218.19,267.29,189.5,442.26,155.54,1560.33,137.15,535.45,136.92,194.33,111.5,712.71,203.06,110.8,207.2,245.3,119.56,391.35,107.09,120.66,444.99,122.85,429.19,425.57,80.31,223.65,197.29,inf,241.64,98.2,56.64,217.73,470.76,405.54,136.93,476.46,247.89,296.92,432.71,454.59,336.05,226.56,357.85,271.31,200.15,185.25,330.51,2227.6,134.77,738.51,1559.32,695.78,192.32,321.43,68.01,233.46,889.03,179.68,106.84,1083.19,266.06,378.49,182.13,333.31,432.77,100.0,211.12,97.4,411.03,77.66,1098.83,249.78,320.84,325.43,402.48,50.0,271.88,187.37,46.39,136.62,224.57,128.94,225.23,173.25,34.76,517.02,89.16,34.61,171.73,244.84,145.89,626.98,40.48,348.12,191.28,81.66,76.59,345.54,69.21,194.12,83.16,296.39,220.69,372.39,186.86,330.84
105,2021-10-14 23:50:00,277.99,72.37,152.47,700.5,1416.96,274.38,190.64,187.8,629.79,1342.56,530.5,355.04,155.08,102.39,65.5,73.96,163.18,inf,117.87,30.42,90.51,170.37,334.67,341.01,132.34,100.0,137.95,174.81,532.94,185.88,283.9,943.35,42.03,97.73,152.26,708.11,257.24,135.23,230.41,52.36,20.41,411.95,905.86,239.61,747.81,745.99,448.57,33.36,88.61,126.94,1317.62,65.31,159.13,358.07,198.52,579.05,43.19,588.14,223.34,546.63,351.15,1005.21,291.52,258.2,50.76,218.76,594.5,359.75,71.04,73.15,49.28,163.39,831.12,693.27,80.33,340.92,227.93,60.0,118.43,259.4,152.0,375.01,272.31,322.69,130.73,267.78,70.06,80.71,282.12,1386.64,474.53,141.5,243.25,262.56,305.37,219.79,94.88,892.89,246.66,846.98,2302.28,520.12,58.7,483.32,227.11,136.91,223.08,76.15,219.35,710.0,243.2,625.44,141.24,179.59,353.01,80.72,174.97,116.59,276.12,100.0,590.65,464.74,140.95,143.36,217.42,27.84,380.84,227.71,100.0,153.56,336.1,104.97,425.46,161.08,110.33,643.89,285.03,33.33,319.99,230.94,128.72,362.98,42.39,367.46,259.65,33.33,137.61,225.47,208.79,100.0,137.18,366.99,291.62,362.89,133.35,257.83
